S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Margin_Percentage
149,BHILWARA(23),DAMODAR AGARWAL,807640.0,354606.0,43.90644346491011
150,KOTA(24),OM BIRLA,750496.0,41974.0,5.5928346053809745
151,JHALAWAR-BARAN(25),DUSHYANT SINGH,865376.0,370989.0,42.870266797322785
152,Tripura West(1),BIPLAB KUMAR DEB,881341.0,611578.0,69.39175642571944
153,Tripura East(2),KRITI DEVI DEBBARMAN,777447.0,486819.0,62.61764467545697
154,Amroha(9),KANWAR SINGH TANWAR,476506.0,28670.0,6.0167133257503576
155,Meerut(10),ARUN GOVIL,546469.0,10585.0,1.9369808717420385
156,Ghaziabad(12),ATUL GARG,854170.0,336965.0,39.449407026704286
157,Gautam Buddha Nagar(13),DR. MAHESH SHARMA,857829.0,559472.0,65.219525103488
158,Bulandshahr(14),DR BHOLA SINGH,597310.0,275134.0,46.062178768143845
159,Aligarh(15),SATISH KUMAR GAUTAM,501834.0,15647.0,3.1179633105768043
160,Hathras(16),ANOOP PRADHAN BALMIKI,554746.0,247318.0,44.582205189401996
161,Mathura(17),HEMAMALINI DHARMENDRA DEOL,510064.0,293407.0,57.523565670190415
162,Agra(18),PROF S P SINGH BAGHEL,599397.0,271294.0,45.261154126563866
163,Fatehpur Sikri(19),RAJKUMAR CHAHAR,445657.0,43405.0,9.739553064352181
164,Bareilly(25),CHHATRA PAL SINGH GANGWAR,567127.0,34804.0,6.136897026591927
165,Pilibhit(26),JITIN PRASADA,607158.0,164935.0,27.165087176649237
166,Shahjahanpur(27),ARUN KUMAR SAGAR,592718.0,55379.0,9.34322898916517
167,Hardoi(31),JAI PRAKASH,486798.0,27856.0,5.7222913816408445
168,Misrikh(32),ASHOK KUMAR RAWAT,475016.0,33406.0,7.032605217508463
169,Unnao(33),SWAMI SACHCHIDANAND HARI SAKSHI,616133.0,35818.0,5.8133552333668215
170,Lucknow(35),RAJ NATH SINGH,612709.0,135159.0,22.059248354439056
171,Farrukhabad(40),MUKESH RAJPUT,487963.0,2678.0,0.5488121025569561
172,Kanpur(43),RAMESH AWASTHI,443055.0,20968.0,4.732595275981537
173,Akbarpur(44),DEVENDRA SINGH ALIAS BHOLE SINGH,517423.0,44345.0,8.570357328530044
174,Jhansi(46),ANURAG SHARMA,690316.0,102614.0,14.864786561516755
175,Phulpur(51),PRAVEEN PATEL,452600.0,4332.0,0.9571365444100751
176,Baharaich(56),ANAND KUMAR,518802.0,64227.0,12.379867463887956
177,Kaiserganj(57),KARAN BHUSHAN SINGH,571263.0,148843.0,26.055074457824155
178,Gonda(59),KIRTIVARDHAN SINGH,474258.0,46224.0,9.746593626254064
179,Domariyaganj(60),JAGDAMBIKA PAL,463303.0,42728.0,9.22247427709296
180,Maharajganj(63),PANKAJ CHAUDHARY,591310.0,35451.0,5.995332397557965
181,Gorakhpur(64),RAVINDRA SHUKLA ALIAS RAVI KISHAN,585834.0,103526.0,17.671558837486387
182,Kushi Nagar(65),VIJAY KUMAR DUBAY,516345.0,81790.0,15.840184372851486
183,Deoria(66),SHASHANK MANI,504541.0,34842.0,6.905682590711161
184,Bansgaon(67),KAMLESH PASWAN,428693.0,3150.0,0.7347915641263094
185,Varanasi(77),NARENDRA MODI,612970.0,152513.0,24.880989281694045
186,Bhadohi(78),DR. VINOD KUMAR BIND,459982.0,44072.0,9.581244483479788
187,Alipurduars(2),MANOJ TIGGA,695314.0,75447.0,10.850781085955411
188,Jalpaiguri(3),DR JAYANTA KUMAR ROY,766568.0,86693.0,11.309238058463176
189,Darjeeling(4),RAJU BISTA,679331.0,178525.0,26.27953089142112
190,Raiganj(5),KARTICK CHANDRA PAUL,560897.0,68197.0,12.158560306081153
191,Balurghat(6),SUKANTA MAJUMDAR,574996.0,10386.0,1.8062734349456342
192,Maldaha Uttar(7),KHAGEN MURMU,527023.0,77708.0,14.74470753648323
193,Ranaghat(13),JAGANNATH SARKAR,782396.0,186899.0,23.888031124903502
194,Bangaon(14),SHANTANU THAKUR,719505.0,73693.0,10.242180387905574
195,Tamluk(30),ABHIJIT GANGOPADHYAY,765584.0,77733.0,10.15342535894167
